ObjID, ObjX, ObjY, ObjLen, ObjWidth, ObjVel, ObjCourse;
1, -102.221, 1, 0.5, 0.5, 0, 0;
1, -102.221, 3, 0.5, 0.5, 0, 0;
1, -102.221, -1, 0.5, 0.5, 0, 0;
1, -103.077, 1, 0.5, 0.5, 0, 0;
1, -103.077, 3, 0.5, 0.5, 0, 0;
1, -103.077, -1, 0.5, 0.5, 0, 0;
1, -103.928, 1, 0.5, 0.5, 0, 0;
1, -103.928, 3, 0.5, 0.5, 0, 0;
1, -103.928, -1, 0.5, 0.5, 0, 0;
1, -104.772, 1, 0.5, 0.5, 0, 0;
1, -104.772, 3, 0.5, 0.5, 0, 0;
1, -104.772, -1, 0.5, 0.5, 0, 0;
1, -105.61, 1, 0.5, 0.5, 0, 0;
1, -105.61, 3, 0.5, 0.5, 0, 0;
1, -105.61, -1, 0.5, 0.5, 0, 0;
1, -106.442, 1, 0.5, 0.5, 0, 0;
1, -106.442, 3, 0.5, 0.5, 0, 0;
1, -106.442, -1, 0.5, 0.5, 0, 0;
1, -107.268, 1, 0.5, 0.5, 0, 0;
1, -107.268, 3, 0.5, 0.5, 0, 0;
1, -107.268, -1, 0.5, 0.5, 0, 0;
1, -108.087, 1, 0.5, 0.5, 0, 0;
1, -108.087, 3, 0.5, 0.5, 0, 0;
1, -108.087, -1, 0.5, 0.5, 0, 0;
